name,description,coordinates
CELDA MASAGUA (EMASGTMS),"CELDA MASAGUA(EMASGTMS)
id celda:2265
isla: ESCUINTLA","[(14.1991, -90.8521)]"
CELDA PARCELAMIENTO LINARES (ESJOGTPL),"CELDA PARCELAMIENTO LINARES(ESJOGTPL)
id celda:2536
isla: ESCUINTLA","[(13.9889, -90.826)]"
CELDA LINDAMAR (ESJOGTLM),"CELDA LINDAMAR(ESJOGTLM)
id celda:
isla: ESCUINTLA","[(13.9173, -90.893)]"
CELDA SANTA CECILIA ESCUINTLA (EESCGTSC),"CELDA SANTA CECILIA ESCUINTLA(EESCGTSC)
id celda:3352
isla: ESCUINTLA","[(14.2935, -90.78761111111099)]"
CELDA ESCUINTLA III (EESCGTE3),"CELDA ESCUINTLA III(EESCGTE3)
id celda:2264
isla: ESCUINTLA","[(14.3185, -90.78859722222201)]"
CELDA AQUA PARK (EESCGTAP),"CELDA AQUA PARK(EESCGTAP)
id celda:2285
isla: ESCUINTLA","[(14.345277777778, -90.763472222222)]"
CELDA POCHUTA (CPOCGTPC),"CELDA POCHUTA(CPOCGTPC)
id celda:3311
isla: ESCUINTLA","[(14.5491, -91.0907)]"
CELDA LIKIN I (ESJOGTL1),"CELDA LIKIN I(ESJOGTL1)
id celda:2260
isla: ESCUINTLA","[(13.933333333333, -90.776666666667)]"
TAXISCO (OTAXGTTA),"TAXISCO(OTAXGTTA)
id celda:
isla: ESCUINTLA
BARBERENA","[(14.0703, -90.461)]"
CELDA JACARANDAS (ESCUINTLA II) (EESCGTJA),"CELDA JACARANDAS (ESCUINTLA II)(EESCGTJA)
id celda:2231
isla: ESCUINTLA","[(14.2859, -90.7744)]"
CELDA EL BRITO (EGUAGTBR),"CELDA EL BRITO(EGUAGTBR)
id celda:4520
isla: ESCUINTLA","[(14.156944444444, -90.673138888889)]"
CELDA TECNO PARK (EMASGTTP),"CELDA TECNO PARK(EMASGTTP)
id celda:2538
isla: ESCUINTLA","[(14.227638888889, -90.734994444444)]"
RIO SUL (ESC251)_XT (EESCGTRU),"RIO SUL (ESC251)_XT(EESCGTRU)
id celda:6440
isla: ESCUINTLA","[(14.21711, -90.77011)]"
CELDA RIO SUL (EESCGTRS),"CELDA RIO SUL(EESCGTRS)
id celda:2204
isla: ESCUINTLA","[(14.215277777778, -90.775)]"
CELDA SAN JUAN MIXTAN (EMASGTSJ),"CELDA SAN JUAN MIXTAN(EMASGTSJ)
id celda:
Isla: ESCUINTLA","[(14.230719444444, -90.825330555556)]"
SANTIAGO ATITLAN (SSATGTSA),"SANTIAGO ATITLAN(SSATGTSA)
id celda:2329
Isla: ESCUINTLA","[(14.638261111111, -91.230036111111)]"
CELDA SAN LUCAS TOLIMAN (SSLTGTSU),"CELDA SAN LUCAS TOLIMAN(SSLTGTSU)
id celda:2330
isla: ESCUINTLA","[(14.636388888889, -91.14652777777799)]"
CELDA TIERRA SANTA (SSLTGTTS),"CELDA TIERRA SANTA(SSLTGTTS)
id celda:4312
isla: ESCUINTLA","[(14.580388888889, -91.128361111111)]"
CELDA EL ARENAL ESCUINTLA POSTE 1 (EDEMGTAE),"CELDA EL ARENAL ESCUINTLA POSTE 1(EDEMGTAE)
id celda:2553
Isla: ESCUINTLA","[(14.175969444444, -90.965247222222)]"
CELDA EL MANGO (EESCGTMA),"CELDA EL MANGO(EESCGTMA)
id celda:3737
isla: ESCUINTLA","[(14.294805555556, -90.747777777778)]"
CELDA LAS GOLONDRINAS (EESCGTGO),"CELDA LAS GOLONDRINAS(EESCGTGO)
id celda:2520
isla: ESCUINTLA","[(14.305044444444, -90.774691666667)]"
CELDA PALMA REAL ESCUINTLA (EESCGTPA),"CELDA PALMA REAL ESCUINTLA(EESCGTPA)
id celda:4953
Isla: ESCUINTLA","[(14.273938888889, -90.792327777778)]"
CELDA TERMINAL ESCUINTLA (EESCGTTE),"CELDA TERMINAL ESCUINTLA(EESCGTTE)
id celda:2522
Isla: ESCUINTLA","[(14.296527777778, -90.785888888889)]"
