name,description,coordinates
CERRO CHIKUT - PLAYA GRANDE,"CERRO CHIKUT(VSCVGTCH) - PLAYA GRANDE(KUSPGTPG)
10,000Mbps
10.55%","[(15.393611111111, -90.56388888888901), (15.930555555556, -90.738888888889)]"
PASIVO FRAY BARTOLOME - FRAY BARTOLOME DE LAS CASAS,"PASIVO FRAY BARTOLOME(VFBCGTPF) - FRAY BARTOLOME DE LAS CASAS(VFBCGTFB)
10,000Mbps
5.65%","[(15.815277777778, -89.873333333333), (15.810833333333, -89.876111111111)]"
FRAY BARTOLOME DE LAS CASAS - RAXRUJA,"FRAY BARTOLOME DE LAS CASAS(VFBCGTFB) - RAXRUJA(VCHIGTRA)
1,000Mbps
17.6%","[(15.810833333333, -89.876111111111), (15.8647, -90.04060277777802)]"
HIDROELECTRICA RENACE 2_XT - TACTIC,"HIDROELECTRICA RENACE 2_XT(VSPCGTHE) - TACTIC(VTACGTTA)
10,000Mbps
0.82%","[(15.497069, -90.17412500000002), (15.3239, -90.3507)]"
PLAYA GRANDE - CELDA CHIQUIBUL,"PLAYA GRANDE(KUSPGTPG) - CELDA CHIQUIBUL(VCHIGTCQ)
728Mbps
32.6%","[(15.930555555556, -90.738888888889), (15.933555555556, -90.528888888889)]"
CELDA PINARES CAHABON - CELDA SESIPCHE,"CELDA PINARES CAHABON(VCAHGTPC) - CELDA SESIPCHE(VLANGTSE)
10,000Mbps
6.4%","[(15.541858333333, -89.866208333333), (15.633111111111, -89.951111111111)]"
TIVOLI - TIVOLI,"TIVOLI(GNCYGTAK) - TIVOLI(TIV-TLG-)
1,000Mbps
68.27%","[(14.608822222222, -90.515472222222), (14.608822222222, -90.515472222222)]"
AZACUALPILLA - LLANO LARGO,"AZACUALPILLA(GPALGTAZ) - LLANO LARGO(GNCYGTLL)
10,000Mbps
8.11%","[(14.7235, -90.363097222222), (14.689972222222, -90.399997222222)]"
CRISTO REY - DON JUSTO,"CRISTO REY(GSCPGTCR) - DON JUSTO(GSCPGTDJ)
1,000Mbps
0.18%","[(14.570888888889, -90.445186111111), (14.538111111111, -90.457527777778)]"
CELDA SAJCAVILLA - SAN JUAN SACATEPEQUEZ,"CELDA SAJCAVILLA(GSJSGTSA) - SAN JUAN SACATEPEQUEZ(GSJSGTSJ)
10,000Mbps
15.33%","[(14.7059, -90.621), (14.718638888889, -90.642944444444)]"
CELDA SAJCAVILLA - CELDA ALDEA CHITOL,"CELDA SAJCAVILLA(GSJSGTSA) - CELDA ALDEA CHITOL(GSJSGTAC)
728Mbps
36.46%","[(14.7059, -90.621), (14.706788888889, -90.63766111111099)]"
SAN PEDRO - SANTO DOMINGO XENACOJ_XT_TR - CELDA SAN PEDRO SACATEPEQUEZ,"SAN PEDRO - SANTO DOMINGO XENACOJ_XT_TR(GSJSGTSD) - CELDA SAN PEDRO SACATEPEQUEZ(GSPSGTPA)
1,024Mbps
14.28%","[(14.6894, -90.66889999999998), (14.686666666667, -90.640277777778)]"
MIXCO 2 (GUA040)_XT_SBA - MIXCO,"MIXCO 2 (GUA040)_XT_SBA(GMIXGTI2) - MIXCO(GMIXGTMI)
10,000Mbps
0.91%","[(14.6296, -90.6004), (14.629166666667, -90.608888888889)]"
CELDA CRUZ BLANCA - SAN JUAN SACATEPEQUEZ,"CELDA CRUZ BLANCA(GSJSGTCB) - SAN JUAN SACATEPEQUEZ(GSJSGTSJ)
10,000Mbps
13.14%","[(14.728305555556, -90.668222222222), (14.718638888889, -90.642944444444)]"
CELDA GRANADOS - CELDA CHUARRANCHO,"CELDA GRANADOS(BGRAGTGA) - CELDA CHUARRANCHO(GCHUGTCU)
728Mbps
4.24%","[(14.912055555556, -90.53750000000001), (14.817194444444, -90.528166666667)]"
CELDA MIRALVALLE I - MIXCO,"CELDA MIRALVALLE I(GMIXGTM1) - MIXCO(GMIXGTMI)
50,000Mbps
0.64%","[(14.616058333333, -90.62158888888898), (14.629166666667, -90.608888888889)]"
CELDA MIRALVALLE I - CELDA MIRALVALLE II,"CELDA MIRALVALLE I(GMIXGTM1) - CELDA MIRALVALLE II(GMIXGTA2)
10,000Mbps
2.18%","[(14.616058333333, -90.62158888888898), (14.610325, -90.623372222222)]"
CELDA EL PERIODISTA II - MOLINO DE LAS FLORES,"CELDA EL PERIODISTA II(GMIXGTEP) - MOLINO DE LAS FLORES(GMIXGTMF)
10,000Mbps
4.01%","[(14.631027777778, -90.583355555556), (14.634777777778, -90.59244444444398)]"
MIXCO - MONTE VERDE,"MIXCO(GMIXGTMI) - MONTE VERDE(GMIXGTMV)
50,000Mbps
27.3%","[(14.629166666667, -90.608888888889), (14.646111111111, -90.581388888889)]"
MIXCO - LAS HOJARASCAS,"MIXCO(GMIXGTMI) - LAS HOJARASCAS(GMIXGTHO)
50,000Mbps
0.16%","[(14.629166666667, -90.608888888889), (14.625794444444, -90.607291666667)]"
MIXCO - CELDA CABAÑA SUIZA,"MIXCO(GMIXGTMI) - CELDA CABAÑA SUIZA(GMIXGTCZ)
10,000Mbps
17.11%","[(14.629166666667, -90.608888888889), (14.618555555556, -90.61563888888898)]"
MIXCO - MSAN ENTRADA A SAN JACINTO,"MIXCO(GMIXGTMI) - MSAN ENTRADA A SAN JACINTO(GMIXGTMJ)
1,000Mbps
17.2%","[(14.629166666667, -90.608888888889), (14.624308333333, -90.605483333333)]"
MIXCO - CELDA LOS CELAJES (MIXCO II),"MIXCO(GMIXGTMI) - CELDA LOS CELAJES (MIXCO II)(GMIXGTCJ)
10,000Mbps
2.71%","[(14.629166666667, -90.608888888889), (14.632666666667, -90.61274999999999)]"
MOLINO DE LAS FLORES - MONTE VERDE,"MOLINO DE LAS FLORES(GMIXGTMF) - MONTE VERDE(GMIXGTMV)
50,000Mbps
7.86%","[(14.634777777778, -90.59244444444398), (14.646111111111, -90.581388888889)]"
MOLINO DE LAS FLORES - NIMAJAY,"MOLINO DE LAS FLORES(GMIXGTMF) - NIMAJAY(GMIXGTNI)
10,000Mbps
12.22%","[(14.634777777778, -90.59244444444398), (14.646638888889, -90.60283333333298)]"
EL ENCINAL - MONTE VERDE,"EL ENCINAL(GMIXGTEN) - MONTE VERDE(GMIXGTMV)
10,000Mbps
1.21%","[(14.654722222222, -90.61916666666701), (14.646111111111, -90.581388888889)]"
EL ENCINAL - NIMAJAY,"EL ENCINAL(GMIXGTEN) - NIMAJAY(GMIXGTNI)
10,000Mbps
0.01%","[(14.654722222222, -90.61916666666701), (14.646638888889, -90.60283333333298)]"
CELDA CHUARRANCHO - SAN RAYMUNDO,"CELDA CHUARRANCHO(GCHUGTCU) - SAN RAYMUNDO(GSRAGTSR)
1,500Mbps
18.47%","[(14.817194444444, -90.528166666667), (14.7665, -90.59629999999999)]"
CELDA CHUARRANCHO - CELDA CHUARRANCHO II,"CELDA CHUARRANCHO(GCHUGTCU) - CELDA CHUARRANCHO II(GCHUGTC2)
10,000Mbps
2.83%","[(14.817194444444, -90.528166666667), (14.8296, -90.4972)]"
CELDA PAMOCA - SAN RAYMUNDO,"CELDA PAMOCA(GSRAGTPA) - SAN RAYMUNDO(GSRAGTSR)
10,000Mbps
15.04%","[(14.783722222222, -90.583305555556), (14.7665, -90.59629999999999)]"
MONTE VERDE - MSAN SAN IGNACIO,"MONTE VERDE(GMIXGTMV) - MSAN SAN IGNACIO(GMIXGTAI)
1,000Mbps
7.87%","[(14.646111111111, -90.581388888889), (14.642758333333, -90.595675)]"
MONTE VERDE - MSAN COLONIA PABLO VI,"MONTE VERDE(GMIXGTMV) - MSAN COLONIA PABLO VI(GMIXGTM6)
10,000Mbps
0.65%","[(14.646111111111, -90.581388888889), (14.641086111111, -90.594430555556)]"
MONTE VERDE -,"MONTE VERDE(GMIXGTMV) - (CC_RCT_G)
1,000Mbps
10.04%","[(14.646111111111, -90.581388888889), (16.09622, -88.561347)]"
CELDA CONDADO SAN JUAN - CELDA CIUDAD QUETZAL,"CELDA CONDADO SAN JUAN(GSJSGTCS) - CELDA CIUDAD QUETZAL(GSJSGTCU)
10,000Mbps
12.13%","[(14.704544444444, -90.564394444444), (14.68975, -90.577166666667)]"
SAN PEDRO SACATEPEQUEZ - MONTE VERDE,"SAN PEDRO SACATEPEQUEZ(GSPSGTPS) - MONTE VERDE(GMIXGTMV)
100,000Mbps
13.66%","[(14.6868, -90.642997222222), (14.646111111111, -90.581388888889)]"
SAN PEDRO SACATEPEQUEZ - SAN JUAN SACATEPEQUEZ,"SAN PEDRO SACATEPEQUEZ(GSPSGTPS) - SAN JUAN SACATEPEQUEZ(GSJSGTSJ)
50,000Mbps
19.2%","[(14.6868, -90.642997222222), (14.718638888889, -90.642944444444)]"
SAN PEDRO SACATEPEQUEZ - CELDA SAN PEDRO SACATEPEQUEZ,"SAN PEDRO SACATEPEQUEZ(GSPSGTPS) - CELDA SAN PEDRO SACATEPEQUEZ(GSPSGTPA)
10,000Mbps
5%","[(14.6868, -90.642997222222), (14.686666666667, -90.640277777778)]"
SAN PEDRO SACATEPEQUEZ - SAN PEDRO SACATEPEQUEZ GUATEMALA (GUA109)_XT,"SAN PEDRO SACATEPEQUEZ(GSPSGTPS) - SAN PEDRO SACATEPEQUEZ GUATEMALA (GUA109)_XT(GSPSGTSE)
10,000Mbps
9.85%","[(14.6868, -90.642997222222), (14.6856298, -90.6370671)]"
SAN JUAN SACATEPEQUEZ - SAN RAYMUNDO,"SAN JUAN SACATEPEQUEZ(GSJSGTSJ) - SAN RAYMUNDO(GSRAGTSR)
100,000Mbps
0.01%","[(14.718638888889, -90.642944444444), (14.7665, -90.59629999999999)]"
SAN JUAN SACATEPEQUEZ - CELDA ALDEA MONTUFAR,"SAN JUAN SACATEPEQUEZ(GSJSGTSJ) - CELDA ALDEA MONTUFAR(GSJSGTAM)
10,000Mbps
0.05%","[(14.718638888889, -90.642944444444), (14.798277777778, -90.64449999999998)]"
SAN RAYMUNDO - CELDA CIUDAD QUETZAL,"SAN RAYMUNDO(GSRAGTSR) - CELDA CIUDAD QUETZAL(GSJSGTCU)
100,000Mbps
8.76%","[(14.7665, -90.59629999999999), (14.68975, -90.577166666667)]"
SAN RAYMUNDO - CELDA LLANO DE LA VIRGEN,"SAN RAYMUNDO(GSRAGTSR) - CELDA LLANO DE LA VIRGEN(GSRAGTLV)
10,000Mbps
9.89%","[(14.7665, -90.59629999999999), (14.78225, -90.598777777778)]"
SAN RAYMUNDO - CELDA ALDEA MONTUFAR,"SAN RAYMUNDO(GSRAGTSR) - CELDA ALDEA MONTUFAR(GSJSGTAM)
10,000Mbps
10.49%","[(14.7665, -90.59629999999999), (14.798277777778, -90.64449999999998)]"
CELDA CIUDAD QUETZAL - MONTE VERDE,"CELDA CIUDAD QUETZAL(GSJSGTCU) - MONTE VERDE(GMIXGTMV)
100,000Mbps
23.44%","[(14.68975, -90.577166666667), (14.646111111111, -90.581388888889)]"
CELDA CIUDAD QUETZAL - CIUDAD QUETZAL,"CELDA CIUDAD QUETZAL(GSJSGTCU) - CIUDAD QUETZAL(GSJSGTCQ)
10,000Mbps
1.89%","[(14.68975, -90.577166666667), (14.6898, -90.576897222222)]"
CELDA CIUDAD QUETZAL - CELDA CARRANZA,"CELDA CIUDAD QUETZAL(GSJSGTCU) - CELDA CARRANZA(GSJSGTCA)
10,000Mbps
13.68%","[(14.68975, -90.577166666667), (14.688722222222, -90.566005555556)]"
CELDA CIUDAD QUETZAL -,"CELDA CIUDAD QUETZAL(GSJSGTCU) - (GSJGTC2N)
1,000Mbps
66.17%","[(14.68975, -90.577166666667), (16.09622, -88.561347)]"
LAS HOJARASCAS - CIUDAD SATELITE,"LAS HOJARASCAS(GMIXGTHO) - CIUDAD SATELITE(GMIXGTCS)
50,000Mbps
8.92%","[(14.625794444444, -90.607291666667), (14.5829, -90.600197222222)]"
LAS HOJARASCAS - MONTE VERDE,"LAS HOJARASCAS(GMIXGTHO) - MONTE VERDE(GMIXGTMV)
50,000Mbps
10.21%","[(14.625794444444, -90.607291666667), (14.646111111111, -90.581388888889)]"
MONTE VERDE - CELDA NUEVA MONTSERRAT II,"MONTE VERDE(GMIXGTMV) - CELDA NUEVA MONTSERRAT II(GMIXGTNO)
10,000Mbps
2.02%","[(14.646111111111, -90.581388888889), (14.6384, -90.578111111111)]"
NODO EL PAJON_XT - DON JUSTO,"NODO EL PAJON_XT(GSCPGTNA) - DON JUSTO(GSCPGTDJ)
10,000Mbps
1.41%","[(14.549833, -90.4348), (14.538111111111, -90.457527777778)]"
CELDA LAS ANONAS FRAIJANES - CELDA SAN JOSE PINULA II,"CELDA LAS ANONAS FRAIJANES(GFRAGTAF) - CELDA SAN JOSE PINULA II(GSJPGTSO)
10,000Mbps
6.28%","[(14.5269, -90.41560277777802), (14.542472222222, -90.411472222222)]"
SAN JOSE PINULA - CELDA SAN JOSE PINULA II,"SAN JOSE PINULA(GSJPGTSJ) - CELDA SAN JOSE PINULA II(GSJPGTSO)
10,000Mbps
8.25%","[(14.5486, -90.41610000000001), (14.542472222222, -90.411472222222)]"
SAN JOSE PINULA (GUA102)_XT - SAN JOSE PINULA,"SAN JOSE PINULA (GUA102)_XT(GSJPGTSU) - SAN JOSE PINULA(GSJPGTSJ)
10,000Mbps
11.54%","[(14.5454, -90.4223), (14.5486, -90.41610000000001)]"
CELDA ALDEA EL CERRITO - CELDA FRAIJANES II,"CELDA ALDEA EL CERRITO(GFRAGTAC) - CELDA FRAIJANES II(GFRAGTF2)
10,000Mbps
3.61%","[(14.4315, -90.450694444444), (14.456388888889, -90.44100000000002)]"
KILOMETRO 25.5 - CELDA LAS FLORES COUBICADO,"KILOMETRO 25.5(GFRAGTK2) - CELDA LAS FLORES COUBICADO(GFRAGTFO)
10,000Mbps
3.73%","[(14.470430555556, -90.482422222222), (14.461, -90.482002777778)]"
RESIDENCIALES SAN JOSE - SAN JOSE PINULA,"RESIDENCIALES SAN JOSE(GSJPGTRS) - SAN JOSE PINULA(GSJPGTSJ)
10,000Mbps
6.57%","[(14.530705555556, -90.409886111111), (14.5486, -90.41610000000001)]"
CELDA SANTO DOMINGO - CELDA PIEDRA PARADA,"CELDA SANTO DOMINGO(GSCPGTSO) - CELDA PIEDRA PARADA(GSCPGTIP)
10,000Mbps
2.57%","[(14.570805555556, -90.448694444444), (14.5839, -90.4486)]"
LA SIERRA DON JUSTO - DON JUSTO,"LA SIERRA DON JUSTO(GSCPGTSD) - DON JUSTO(GSCPGTDJ)
10,000Mbps
0.42%","[(14.552916666667, -90.466663888889), (14.538111111111, -90.457527777778)]"
VILA VERDE - DON JUSTO,"VILA VERDE(GSCPGTVV) - DON JUSTO(GSCPGTDJ)
10,000Mbps
0.41%","[(14.511608333333, -90.465097222222), (14.538111111111, -90.457527777778)]"
PINABETES - DON JUSTO,"PINABETES(GSJPGTPI) - DON JUSTO(GSCPGTDJ)
10,000Mbps
1.51%","[(14.54315, -90.428205555556), (14.538111111111, -90.457527777778)]"
BOSQUE DE LAS LUCES - CENTRO CORPORATIVO MUXBAL,"BOSQUE DE LAS LUCES(GSCPGTBL) - CENTRO CORPORATIVO MUXBAL(GSCPGTCC)
10,000Mbps
0.84%","[(14.564138888889, -90.374527777778), (14.561322222222, -90.47816666666701)]"
BOSQUE DE LAS LUCES - CELDA PIEDRA PARADA,"BOSQUE DE LAS LUCES(GSCPGTBL) - CELDA PIEDRA PARADA(GSCPGTIP)
10,000Mbps
9.6%","[(14.564138888889, -90.374527777778), (14.5839, -90.4486)]"
BOSQUE DE LAS LUCES - DON JUSTO,"BOSQUE DE LAS LUCES(GSCPGTBL) - DON JUSTO(GSCPGTDJ)
10,000Mbps
10.41%","[(14.564138888889, -90.374527777778), (14.538111111111, -90.457527777778)]"
SANTIAGO DE COMPOSTELA - DON JUSTO,"SANTIAGO DE COMPOSTELA(GFRAGTSC) - DON JUSTO(GSCPGTDJ)
50,000Mbps
0.12%","[(14.519230555556, -90.471963888889), (14.538111111111, -90.457527777778)]"
SANTIAGO DE COMPOSTELA - RESIDENCIAL CASA Y CAMPO,"SANTIAGO DE COMPOSTELA(GFRAGTSC) - RESIDENCIAL CASA Y CAMPO(GFRAGTRC)
10,000Mbps
0.29%","[(14.519230555556, -90.471963888889), (14.487886111111, -90.484102777778)]"
DON JUSTO - PAVON_XT_SBA,"DON JUSTO(GSCPGTDJ) - PAVON_XT_SBA(GFRAGTPA)
10,000Mbps
2.34%","[(14.538111111111, -90.457527777778), (14.51723, -90.4366)]"
DON JUSTO - CRISTO REY XT,"DON JUSTO(GSCPGTDJ) - CRISTO REY XT(GSCPGTCI)
1,000Mbps
0%","[(14.538111111111, -90.457527777778), (14.5708979, -90.4484575)]"
DON JUSTO - CELDA MUXBAL,"DON JUSTO(GSCPGTDJ) - CELDA MUXBAL(GSCPGTMX)
10,000Mbps
2.63%","[(14.538111111111, -90.457527777778), (14.561388888889, -90.4785)]"
DON JUSTO - CELDA CONDADO CONCEPCION,"DON JUSTO(GSCPGTDJ) - CELDA CONDADO CONCEPCION(GSCPGTCO)
10,000Mbps
3.22%","[(14.538111111111, -90.457527777778), (14.552066666667, -90.452666666667)]"
CELDA MOTOTRACK I CIUDAD DE DIOS COUBICADO - CELDA CUMBRES DE SAN NICOLAS,"CELDA MOTOTRACK I CIUDAD DE DIOS COUBICADO(GVCAGTM1) - CELDA CUMBRES DE SAN NICOLAS(GVCAGTCS)
10,000Mbps
0.37%","[(14.510872222222, -90.483586111111), (14.508222222222, -90.48163888888898)]"
SAN JOSE PINULA - CELDA EL MANZANO LA LIBERTAD,"SAN JOSE PINULA(GSJPGTSJ) - CELDA EL MANZANO LA LIBERTAD(GSCPGTML)
50,000Mbps
1.91%","[(14.5486, -90.41610000000001), (14.555280555556, -90.446361111111)]"
SAN JOSE PINULA - DON JUSTO,"SAN JOSE PINULA(GSJPGTSJ) - DON JUSTO(GSCPGTDJ)
50,000Mbps
23.17%","[(14.5486, -90.41610000000001), (14.538111111111, -90.457527777778)]"
SAN JOSE PINULA - CELDA MONTE CRISTO SAN JOSE PINULA,"SAN JOSE PINULA(GSJPGTSJ) - CELDA MONTE CRISTO SAN JOSE PINULA(GSJPGTMC)
10,000Mbps
9.81%","[(14.5486, -90.41610000000001), (14.557333333333, -90.401111111111)]"
SAN JOSE PINULA - CONCEPCION PINULA_XT_SBA,"SAN JOSE PINULA(GSJPGTSJ) - CONCEPCION PINULA_XT_SBA(GSJPGTCI)
10,000Mbps
2.6%","[(14.5486, -90.41610000000001), (14.51363, -90.35313)]"
CELDA RESIDENCIALES SAN CARLOS COUBICADO - KILOMETRO 25.5,"CELDA RESIDENCIALES SAN CARLOS COUBICADO(GVCAGTRS) - KILOMETRO 25.5(GFRAGTK2)
10,000Mbps
3.1%","[(14.483627777778, -90.487658333333), (14.470430555556, -90.482422222222)]"
DON JUSTO - CELDA EL PAJON,"DON JUSTO(GSCPGTDJ) - CELDA EL PAJON(GSCPGTPJ)
10,000Mbps
10.28%","[(14.538111111111, -90.457527777778), (14.559388888889, -90.436194444444)]"
DON JUSTO - CELDA CUMBRES DE SAN NICOLAS,"DON JUSTO(GSCPGTDJ) - CELDA CUMBRES DE SAN NICOLAS(GVCAGTCS)
10,000Mbps
0%","[(14.538111111111, -90.457527777778), (14.508222222222, -90.48163888888898)]"
CELDA EL MANZANO LA LIBERTAD - DON JUSTO,"CELDA EL MANZANO LA LIBERTAD(GSCPGTML) - DON JUSTO(GSCPGTDJ)
10,000Mbps
0.03%","[(14.555280555556, -90.446361111111), (14.538111111111, -90.457527777778)]"
CELDA FINCA ESTANZUELA - CELDA SANTA ELENA BARILLAS,"CELDA FINCA ESTANZUELA(GVCAGTFE) - CELDA SANTA ELENA BARILLAS(GVCAGTSL)
50,000Mbps
3.14%","[(14.435055555556, -90.514305555556), (14.4012, -90.54110000000001)]"
CELDA FINCA ESTANZUELA - KILOMETRO 25.5,"CELDA FINCA ESTANZUELA(GVCAGTFE) - KILOMETRO 25.5(GFRAGTK2)
50,000Mbps
3.2%","[(14.435055555556, -90.514305555556), (14.470430555556, -90.482422222222)]"
SANTA ELENA BARILLAS - CELDA SANTA ELENA BARILLAS,"SANTA ELENA BARILLAS(GVCAGTSE) - CELDA SANTA ELENA BARILLAS(GVCAGTSL)
50,000Mbps
0.01%","[(14.405980555556, -90.54501111111101), (14.4012, -90.54110000000001)]"
SANTA ELENA BARILLAS - KILOMETRO 25.5,"SANTA ELENA BARILLAS(GVCAGTSE) - KILOMETRO 25.5(GFRAGTK2)
50,000Mbps
5.25%","[(14.405980555556, -90.54501111111101), (14.470430555556, -90.482422222222)]"
RESIDENCIAL CASA Y CAMPO - KILOMETRO 25.5,"RESIDENCIAL CASA Y CAMPO(GFRAGTRC) - KILOMETRO 25.5(GFRAGTK2)
10,000Mbps
21.36%","[(14.487886111111, -90.484102777778), (14.470430555556, -90.482422222222)]"
KILOMETRO 25.5 - DON JUSTO,"KILOMETRO 25.5(GFRAGTK2) - DON JUSTO(GSCPGTDJ)
50,000Mbps
15.03%","[(14.470430555556, -90.482422222222), (14.538111111111, -90.457527777778)]"
KILOMETRO 25.5 - CELDA CUMBRES DE SAN NICOLAS,"KILOMETRO 25.5(GFRAGTK2) - CELDA CUMBRES DE SAN NICOLAS(GVCAGTCS)
10,000Mbps
9.75%","[(14.470430555556, -90.482422222222), (14.508222222222, -90.48163888888898)]"
KILOMETRO 25.5 - CELDA FINCA COLOMBIA,"KILOMETRO 25.5(GFRAGTK2) - CELDA FINCA COLOMBIA(GFRAGTFC)
10,000Mbps
3.04%","[(14.470430555556, -90.482422222222), (14.5051, -90.46140000000001)]"
FRAIJANES - DON JUSTO,"FRAIJANES(GFRAGTFR) - DON JUSTO(GSCPGTDJ)
50,000Mbps
8.23%","[(14.465777777778, -90.44047222222198), (14.538111111111, -90.457527777778)]"
FRAIJANES - CELDA FRAIJANES II,"FRAIJANES(GFRAGTFR) - CELDA FRAIJANES II(GFRAGTF2)
10,000Mbps
5.99%","[(14.465777777778, -90.44047222222198), (14.456388888889, -90.44100000000002)]"
VILLA NUEVA - CELDA VILLA NUEVA III,"VILLA NUEVA(GVNUGTVN) - CELDA VILLA NUEVA III(GVNUGTVU)
50,000Mbps
0.7%","[(14.525, -90.587222222222), (14.5338, -90.5895)]"
VILLA NUEVA - CELDA VILLA ROMANA,"VILLA NUEVA(GVNUGTVN) - CELDA VILLA ROMANA(GVNUGTVO)
10,000Mbps
1.6%","[(14.525, -90.587222222222), (14.503111111111, -90.6125)]"
CELDA SAN JOSE VILLA NUEVA IV - SAN JOSE VILLA NUEVA,"CELDA SAN JOSE VILLA NUEVA IV(GVNUGTSV) - SAN JOSE VILLA NUEVA(GVNUGTSJ)
1,000Mbps
16.44%","[(14.5475, -90.59329999999999), (14.5472, -90.599402777778)]"
LINDA VISTA - VILLA NUEVA,"LINDA VISTA(GVNUGTLV) - VILLA NUEVA(GVNUGTVN)
10,000Mbps
32.32%","[(14.5007, -90.599), (14.525, -90.587222222222)]"
CELDA NACIONES UNIDAS - VILLA NUEVA,"CELDA NACIONES UNIDAS(GVNUGTNU) - VILLA NUEVA(GVNUGTVN)
10,000Mbps
16.38%","[(14.511916666667, -90.605972222222), (14.525, -90.587222222222)]"
CELDA NACIONES UNIDAS - CELDA PLANES DE BARCENAS II,"CELDA NACIONES UNIDAS(GVNUGTNU) - CELDA PLANES DE BARCENAS II(GVNUGTP2)
10,000Mbps
6.16%","[(14.511916666667, -90.605972222222), (14.5283, -90.622902777778)]"
CELDA NACIONES UNIDAS - NACIONES UNIDAS_XT,"CELDA NACIONES UNIDAS(GVNUGTNU) - NACIONES UNIDAS_XT(GVNUGTNN)
10,000Mbps
1.55%","[(14.511916666667, -90.605972222222), (14.5093, -90.6085)]"
CELDA NACIONES UNIDAS - CELDA PLANES DE BARCENAS,"CELDA NACIONES UNIDAS(GVNUGTNU) - CELDA PLANES DE BARCENAS(GVNUGTPB)
10,000Mbps
4.32%","[(14.511916666667, -90.605972222222), (14.52, -90.6244)]"
CELDA LA FELICIDAD VILLA NUEVA - VILLA NUEVA,"CELDA LA FELICIDAD VILLA NUEVA(GVNUGTFE) - VILLA NUEVA(GVNUGTVN)
10,000Mbps
8.72%","[(14.527666666667, -90.583861111111), (14.525, -90.587222222222)]"
SAN JOSE VILLA NUEVA - VILLA NUEVA,"SAN JOSE VILLA NUEVA(GVNUGTSJ) - VILLA NUEVA(GVNUGTVN)
50,000Mbps
21.36%","[(14.5472, -90.599402777778), (14.525, -90.587222222222)]"
SAN JOSE VILLA NUEVA - CELDA VALLE DE MARIA COUBICADO,"SAN JOSE VILLA NUEVA(GVNUGTSJ) - CELDA VALLE DE MARIA COUBICADO(GVNUGTVM)
10,000Mbps
2.99%","[(14.5472, -90.599402777778), (14.553483333333, -90.57929166666699)]"
CELDA BILLBOARD LLANRESA CENTRAL VILLA NUEVA - VILLA NUEVA,"CELDA BILLBOARD LLANRESA CENTRAL VILLA NUEVA(GVNUGTBN) - VILLA NUEVA(GVNUGTVN)
10,000Mbps
1.93%","[(14.536780555556, -90.58419166666698), (14.525, -90.587222222222)]"
BARCENAS - VILLA NUEVA,"BARCENAS(GVNUGTBA) - VILLA NUEVA(GVNUGTVN)
10,000Mbps
23.49%","[(14.5331, -90.5961), (14.525, -90.587222222222)]"
BARCENAS - CELDA LA ESTANCIA VILLA NUEVA,"BARCENAS(GVNUGTBA) - CELDA LA ESTANCIA VILLA NUEVA(GVNUGTEV)
10,000Mbps
2.23%","[(14.5331, -90.5961), (14.545055555556, -90.610805555556)]"
PASEO DE LAS FUENTES - FUENTES DEL VALLE I,"PASEO DE LAS FUENTES(GSMPGTPF) - FUENTES DEL VALLE I(GVNUGTFV)
10,000Mbps
0.23%","[(14.523769444444, -90.553441666667), (14.524386111111, -90.55375555555598)]"
RESIDENCIALES PETAPA II - VILLA HERMOSA,"RESIDENCIALES PETAPA II(GSMPGTRE) - VILLA HERMOSA(GVCAGTVH)
10,000Mbps
0.19%","[(14.536511111111, -90.55347499999999), (14.522861111111, -90.535944444444)]"
RESIDENCIALES PETAPA II - RESIDENCIALES PETAPA I,"RESIDENCIALES PETAPA II(GSMPGTRE) - RESIDENCIALES PETAPA I(GSMPGTRP)
10,000Mbps
0.17%","[(14.536511111111, -90.55347499999999), (14.53405, -90.556186111111)]"
VILLA HERMOSA - CELDA ALAMEDAS DE VILLAFLORES COUBICADO,"VILLA HERMOSA(GVCAGTVH) - CELDA ALAMEDAS DE VILLAFLORES COUBICADO(GSMPGTAV)
1,000Mbps
3.3%","[(14.522861111111, -90.535944444444), (14.523730555556, -90.532969444444)]"
TIQUISATE - CELDA NUEVA PROVIDENCIA TIQUISATE,"TIQUISATE(ETIQGTTI) - CELDA NUEVA PROVIDENCIA TIQUISATE(ETIQGTNP)
10,000Mbps
1.43%","[(14.289166666667, -91.367777777778), (14.3388, -91.380166666667)]"
SANTA LUCIA COTZUMALGUAPA - CELDA UVG CAMPUS SUR,"SANTA LUCIA COTZUMALGUAPA(ESLCGTSL) - CELDA UVG CAMPUS SUR(ESLCGTUC)
10,000Mbps
0.79%","[(14.3305, -91.01999999999998), (14.33145, -91.059088888889)]"
SANTA LUCIA COTZUMALGUAPA - CELDA COYOLATE,"SANTA LUCIA COTZUMALGUAPA(ESLCGTSL) - CELDA COYOLATE(ENCOGTCO)
10,000Mbps
9.13%","[(14.3305, -91.01999999999998), (14.3747, -91.1056)]"
ESCUELA DE PARVULOS JESUS RODAS - COLONIA MOLINA,"ESCUELA DE PARVULOS JESUS RODAS(QTZLGTEP) - COLONIA MOLINA(QTZLGTOO)
10,000Mbps
0.6%","[(14.837008333333, -91.51435), (14.837758333333, -91.50600277777801)]"
